id,name,job,job_cat,pic_url,season,skin_tone,eye_color,hair_color,contrast_level,best_color1,best_color2,best_color3,best_color4,best_color5,worst_color1,worst_color2,worst_color3,worst_color4,worst_color5
140,Jackie Aina,"Beauty YouTuber, advocate for inclusivity in beauty",Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/a/aa/Jackie_Aina_2021_%283x4_cropped%29.png,deep autumn,warm,deep brown,natural dark brown,medium,#6a4a3c,#cc333f,#00a0b0,#eb6841,#edc951,#a8c0ff,#8b95c9,#92a8d1,#d6efff,#99b898
141,Jason Momoa,"Aquaman in DC movies, Game of Thrones",Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Jason_Momoa_%2843055621224%29_%28cropped%29.jpg/1280px-Jason_Momoa_%2843055621224%29_%28cropped%29.jpg,deep autumn,warm,hazel with green and gold flecks,natural dark brown,medium,#6a4e42,#cc7722,#80461b,#7b3f00,#8b4513,#000000,#ffffff,#ffc0cb,#ff69b4,#00ffff
142,Judy Garland,Iconic role in 'The Wizard of Oz',Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Judy_Garland_publicity_photo.png/1280px-Judy_Garland_publicity_photo.png,deep autumn,warm,deep brown,natural dark brown,medium,#6a4e42,#9c5642,#cc7722,#80461b,#8b4513,#0000ff,#00ffff,#000080,#800080,#ff00ff
143,Justin Trudeau,Prime Minister of Canada,Public Figures,https://upload.wikimedia.org/wikipedia/commons/3/32/Prime_Minister_Trudeau%27s_message_on_Christmas_2023_%280m29s%29_%28cropped%29.jpg,deep autumn,warm,"rich, deep brown with a warm glow",dark brown with warm undertones,medium,#6a4e42,#855c33,#9b7163,#c4875a,#d9825c,#a2a2d0,#69b3ff,#e8f1fd,#fffff0,#fffafa
144,Kanye West,"Hip-hop music, fashion designer",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kanye_West_at_the_2009_Tribeca_Film_Festival_%28crop_2%29.jpg/1280px-Kanye_West_at_the_2009_Tribeca_Film_Festival_%28crop_2%29.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#7d4a38,#b76e79,#4f2f24,#d9a566,#c66d3f,#a29bfe,#f0e68c,#00ffff,#0000ff,#ffc0cb
145,Meghan Markle,Duchess of Sussex,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/SXSW-2024-OB7A9986-alih-Meghan%2C_Duchess_of_Sussex_%28cropped%29.jpg/1200px-SXSW-2024-OB7A9986-alih-Meghan%2C_Duchess_of_Sussex_%28cropped%29.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4e42,#9b6a4f,#cc7722,#ffbf00,#9955bb,#89cff0,#0000ff,#778899,#c0c0c0,#ffc0cb
146,Michael B. Jordan,"Black Panther, Creed",Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Michael_B_Jordan_-_Sinners.jpg/1280px-Michael_B_Jordan_-_Sinners.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6b4536,#855c4c,#c17a60,#99582a,#da9547,#a0a0a0,#f0ead6,#dddddd,#e5e4e2,#9b95ff
147,Michelle Obama,Former First Lady of the United States,Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Michelle_Obama_2013_official_portrait.jpg/1280px-Michelle_Obama_2013_official_portrait.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#b07d62,#7a5230,#d98256,#000000,#ffffff,#ffb6c1,#ff69b4,#00ffff
148,Naomi Campbell,"Iconic supermodel, reality TV",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/1/10/Naomi_Campbell_Cannes_2018.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4c31,#855c32,#bf9270,#d9a56c,#4f301f,#a8b6bf,#92a8d1,#f0ead6,#99badd,#c2e0f4
149,Naomi Osaka,Tennis,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/NaomiOsaka-smile-2020_%28cropped_tight%29.png/1280px-NaomiOsaka-smile-2020_%28cropped_tight%29.png,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#b07d62,#996633,#cc7722,#000000,#ffffff,#ffc0cb,#800080,#0000ff
150,Nyma Tang,"Beauty YouTuber, advocate for darker skin tones in beauty",Social Media Influencers/Content Creators,,deep autumn,warm,deep brown,natural dark brown,medium,#6a4a3c,#cc7722,#783f04,#7b4d3a,#80461b,#a2a2d0,#c0c0c0,#b6e5d8,#f0ead6,#99badd
151,Oprah Winfrey,The Oprah Winfrey Show,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Oprah_Winfrey_2016.jpg/1108px-Oprah_Winfrey_2016.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4e42,#a05c17,#b76e79,#6b3e26,#8f3b1b,#a9a9a9,#fffff0,#000080,#e0ffff,#008080
152,Princess Eugenie of York,British Royal Family member,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/3/3e/Princess_Eugenie%2C_2017.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4c38,#9f6a4e,#cc7832,#c65d21,#7b4b2a,#000000,#ffffff,#a8baba,#89a3a4,#7698a9
153,Rihanna,"Music, Ocean's 8",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/c/c2/Rihanna_Fenty_2018.png,deep autumn,warm,deep brown,natural dark brown,medium,#6b3e26,#855c33,#9b6a4f,#c79f7b,#a67b5b,#0000ff,#00ffff,#ff00ff,#000000,#ffffff
154,SZA,R&B music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/KendrickSZASPurs230725-19_-_54683179509_%28cropped%29_%28cropped%29.jpg/1280px-KendrickSZASPurs230725-19_-_54683179509_%28cropped%29_%28cropped%29.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#7a422e,#6a513b,#805d36,#9b7168,#a7756d,#0000ff,#00ffff,#ff00ff,#800080,#008080
155,The Weeknd,R&B and pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/The_Weeknd_Portrait_by_Brian_Ziff.jpg/1280px-The_Weeknd_Portrait_by_Brian_Ziff.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#b65c44,#6b372d,#804e36,#9f754f,#cc7722,#c0c0c0,#0000ff,#00ffff,#000080,#800080
156,Usain Bolt,Sprinting,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Usain_Bolt_-_240422_190142_%28cropped%29.jpg/1280px-25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Usain_Bolt_-_240422_190142_%28cropped%29.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4e42,#805d38,#b67350,#d08c60,#7a3e3a,#000000,#ffffff,#00ffff,#0000ff,#ff00ff
157,Virat Kohli,Cricket,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/9/9b/Virat_Kohli_in_PMO_New_Delhi.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#6a4e3f,#805d36,#995e36,#cc7722,#ff9966,#a9a9a9,#00ffff,#0000ff,#483d8b,#00008b
158,Wendy Williams,The Wendy Williams Show,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/2/27/Wendy_Williams_WBLS_2022_%28cropped%29.png,deep autumn,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#d2691e,#8b4513,#6b8e23,#000000,#ffffff,#ffc0cb,#00ffff,#0000ff
159,Zendaya,"Euphoria, Spider-Man movies",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Zendaya_-_2019_by_Glenn_Francis.jpg/1280px-Zendaya_-_2019_by_Glenn_Francis.jpg,deep autumn,warm,deep brown,natural dark brown,medium,#7b4b3a,#805d38,#a56e45,#d0a98f,#5a3e36,#a8d8ea,#62b5e5,#8e8e8e,#d1d1d1,#f4f4f4
160,Adam Driver,Star Wars sequel trilogy,Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Adam_Driver.jpg/1280px-Adam_Driver.jpg,deep winter,cool,intense dark brown,natural dark brown,high,#4a708b,#6e7b8b,#7171c6,#2f4f4f,#76eec6,#ffd700,#ffa07a,#ff6347,#ff4500,#ffdab9
161,Alek Wek,"Breaking barriers for African models, fashion design",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/b/bc/Alek_Wek%2C_Red_Dress_Collection_2007.jpg,deep winter,cool,deep brown,natural dark brown,high,#005b96,#d6001c,#009b77,#4a4a4a,#5b5b5b,#f0c27b,#ffd700,#ffdbac,#c2b280,#996515
162,Bella Hadid,"High-fashion runway shows, high-profile endorsements",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/9/92/Bella_Hadid_Cannes_2018_%28cropped%29_%28cropped%29.jpg,deep winter,cool,light blue-green with a grey undertone,natural dark brown,high,#0a0f0d,#005f69,#4b0082,#7a378b,#c71585,#f4c430,#ffd700,#ffa07a,#fa8072,#ff6347
163,Charlie Chaplin,Iconic roles in silent films,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Charlie_Chaplin_portrait_Getty_1739411952.jpg/1280px-Charlie_Chaplin_portrait_Getty_1739411952.jpg,deep winter,cool,deep brown,natural dark brown,high,#0a0f0d,#2c3531,#003153,#1c1c1c,#005f6a,#f4c2c2,#fffdd0,#fad6a5,#ffdab9,#f0e68c
164,Chloe Morello,"Beauty YouTuber, social media personality",Social Media Influencers/Content Creators,,deep winter,cool,deep brown,natural dark brown,high,#004b8d,#005c73,#6b3e26,#ffd700,#4a646c,#ffa07a,#faebd7,#f5deb3,#ffdab9,#ffe4e1
165,Cristiano Ronaldo,Football,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Cristiano_Ronaldo_2275_%28cropped%29.jpg/1280px-Cristiano_Ronaldo_2275_%28cropped%29.jpg,deep winter,cool,hazel with flecks of gold and green,natural dark brown,high,#004b8d,#5a000f,#260133,#005f56,#5d2555,#ffd700,#b5651d,#ffa07a,#ffe4b5,#fa8072
166,Elizabeth Taylor,Striking violet eyes and dramatic film roles,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Taylor%2C_Elizabeth_posed.jpg/1255px-Taylor%2C_Elizabeth_posed.jpg,deep winter,cool,"deep violet with flecks of gray, creating a unique and striking appearance",black,high,#0a0f0d,#2c3539,#27504b,#5c798d,#35283e,#f4c2c2,#ffddca,#fff0e1,#f0ead6,#fffff0
167,Frank Sinatra,Singing career and roles in classic Hollywood films,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Frank_Sinatra_%281957_studio_portrait_close-up%29.jpg/1212px-Frank_Sinatra_%281957_studio_portrait_close-up%29.jpg,deep winter,cool,blue,black,high,#114b5f,#456990,#f45b69,#6b2737,#2e0014,#a67b5b,#ffd1aa,#ffa07a,#8b4513,#deb887
168,Giannis Antetokounmpo,Basketball,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Giannis_Antetokounmpo_%2851915153421%29_%28cropped%29.jpg/1280px-Giannis_Antetokounmpo_%2851915153421%29_%28cropped%29.jpg,deep winter,cool,dark brown with a cool undertone,black,high,#005b96,#346cb0,#d6001c,#e4007c,#990000,#ffd700,#ffa07a,#ff6347,#ff4500,#ffdab9
169,Grace Jones,"Modeling, acting, and singing",Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/e/e6/GraceJonesCPBowl260724_%2824_of_129%29_%2853885124610%29_%28cropped%29.jpg,deep winter,cool,dark brown with a cool undertone,jet black,high,#0a0f0d,#2c3539,#6d7978,#b22222,#7b3f00,#ffd700,#ffa07a,#ff6347,#fa8072,#f08080
170,Idris Elba,"Luther, The Wire",Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Idris_Elba_A_House_of_Dynamite-21_%28cropped%29.jpg/1280px-Idris_Elba_A_House_of_Dynamite-21_%28cropped%29.jpg,deep winter,cool,dark brown with a cool undertone,black,high,#0a0f0d,#005f83,#4b0082,#ff6347,#800020,#ffd700,#ffa07a,#fa8072,#f4a460,#ffdead
171,Jimmy Kimmel,Jimmy Kimmel Live!,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/3/37/Jimmy_Kimmel_June_2022.jpg,deep winter,cool,deep brown,natural dark brown,high,#4a708b,#6a5acd,#4682b4,#0a4958,#5f9ea0,#ffd700,#ff6347,#ffa07a,#fa8072,#f08080
172,Jisoo (Kim Ji-soo),Member of BLACKPINK,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Jisoo_of_Blackpink_at_a_Dior_event%2C_April_18%2C_2025_%283%29.png/1280px-Jisoo_of_Blackpink_at_a_Dior_event%2C_April_18%2C_2025_%283%29.png,deep winter,cool,"dark brown, almost black",natural dark brown,high,#0a0f59,#005f73,#2a0944,#3b1f2b,#9b2226,#f4d03f,#f0b27a,#85c1e9,#76d7c4,#f7dc6f
173,Kamala Harris,Vice President of the United States,Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Kamala_Harris_Vice_Presidential_Portrait.jpg/1280px-Kamala_Harris_Vice_Presidential_Portrait.jpg,deep winter,cool,deep brown,natural dark brown,high,#004b8d,#4a0f6c,#134f5c,#5f9ea0,#ff6347,#ffd700,#ffa07a,#ff6347,#fa8072,#f08080
174,Kendall Jenner,"Reality TV star, high-fashion modeling",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/2/2d/Kendall_Jenner_for_Stuart_Weitzman_in_2019.jpg,deep winter,cool,dark brown with a cool undertone,natural dark brown,high,#005b96,#4a235a,#154360,#1f618d,#641e16,#f7dc6f,#f8c471,#f0b27a,#e59866,#d7dbdd
175,Kim Kardashian,"Reality TV, Skims",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Kim_Kardashian_West_2014.jpg/1280px-Kim_Kardashian_West_2014.jpg,deep winter,cool,deep brown,natural dark brown,high,#0a0f0d,#115740,#5a1a29,#6b2a5e,#1c1c1c,#f4c2c2,#fffdd0,#ffd700,#ffbf00,#ff6347
176,LeBron James,Basketball,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/LeBron_James_%2851959977144%29_%28cropped2%29.jpg/1197px-LeBron_James_%2851959977144%29_%28cropped2%29.jpg,deep winter,cool,deep dark brown,natural black,high,#005293,#009b77,#d6001c,#260026,#5a5b9f,#ffd700,#ffa07a,#ff6347,#f4a460,#ffc0cb
177,Lisa (Lalisa Manoban),Member of BLACKPINK,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/a/ae/20240314_Lisa_Manoban_07.jpg,deep winter,cool,dark brown,black,high,#0a0f0d,#2c3539,#5b6870,#7f8b93,#274256,#f4c2c2,#ffdab9,#faebd7,#f5f5dc,#fff8dc
178,Lupita Nyong'o,"12 Years a Slave, Black Panther",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Lupita_Nyong%27o_by_Gage_Skidmore_4.jpg/1280px-Lupita_Nyong%27o_by_Gage_Skidmore_4.jpg,deep winter,cool,"dark brown, almost black","natural dark brown, almost black",high,#0a0f59,#005f6a,#00563f,#6a198d,#a20056,#a67b5b,#f4c2c2,#fff5ee,#faebd7,#f5f5dc
179,Olivier Rousteing,Balmain,Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/1/1e/Olivier_Rousteing.jpg,deep winter,cool,deep brown,natural dark brown,high,#005b96,#4a638d,#762a83,#9b1b30,#4e3629,#f4c2c2,#fff5ee,#ffdab9,#faebd7,#f5f5dc
180,Patricia Bright,Beauty and fashion YouTuber,Social Media Influencers/Content Creators,,deep winter,cool,deep brown,natural dark brown,high,#0a4958,#005b9a,#6a207f,#850726,#4b0082,#f4c430,#ffd700,#ffa07a,#fa8072,#ff6347
181,Prince Harry,Duke of Sussex,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Prince_Harry_launching_the_2020_Invictus_Games_%28cropped%29.jpg/1039px-Prince_Harry_launching_the_2020_Invictus_Games_%28cropped%29.jpg,deep winter,cool,blue with a grey ring around the iris,natural red,medium,#005b96,#4b0082,#34262f,#6b3e26,#ffd700,#ffa07a,#fa8072,#f08080,#e9967a,#ffdab9
182,RuPaul,RuPaul's Drag Race,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/3/3d/2019_California_Hall_of_Fame_Ceremony_01_%28cropped2%29.jpg,deep winter,cool,deep brown,natural dark brown,high,#005aab,#d60032,#009b77,#6b3e26,#ffd700,#f4c2c2,#fffdd0,#faf0be,#ffdab9,#e97451
183,Sasha Banks,WWE,Athletes/Sports Figures,,deep winter,cool,deep brown with slight cooler undertones,"natural dark brown, often dyed in vibrant colors",high,#005b96,#013a6b,#4a4b4d,#5a306b,#d60034,#a67b5b,#d2b48c,#ffdab9,#f4c2c2,#fff5ee
184,Sooyoung,Girls' Generation,K-pop/Asian Celebrities,,deep winter,cool,"dark brown with hints of charcoal, giving depth",natural dark brown,high,#0a0f59,#4d1434,#005b5b,#4b0082,#ff6347,#ffff00,#ffd700,#ffa07a,#f08080,#fa8072
185,Suga (Min Yoon-gi),Member of BTS,K-pop/Asian Celebrities,,deep winter,cool,dark brown,black,high,#005b96,#d32f2f,#512da8,#00796b,#c2185b,#ffcc99,#fff0b3,#ffd700,#f4c2c2,#996515
186,Viola Davis,"How to Get Away with Murder, The Help",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/b/bb/Viola_Davis_at_the_Air_Premiere_at_SXSW_%28cropped%29.jpg,deep winter,cool,deep dark brown,"natural dark brown, almost black",high,#005b96,#4a235a,#154360,#1f618d,#641e16,#f5b7b1,#fad7a0,#fdebd0,#d2b4de,#a9cce3
187,Virgil Abloh,"Off-White, Louis Vuitton",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Virgil_Abloh_Paris_Fashion_Week_Autumn_Winter_2019_%28cropped%29.jpg/1280px-Virgil_Abloh_Paris_Fashion_Week_Autumn_Winter_2019_%28cropped%29.jpg,deep winter,cool,deep brown,natural dark brown,high,#0a0f0d,#123456,#133337,#145362,#1d2951,#fff5ee,#ffdab9,#faebd7,#f5deb3,#ffe4e1
188,Whoopi Goldberg,The View,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Whoopi_Goldberg_Springsteen-71_%28cropped%29.jpg/1280px-Whoopi_Goldberg_Springsteen-71_%28cropped%29.jpg,deep winter,cool,deep brown,natural dark brown,high,#005b96,#4c1c24,#252525,#6d3b47,#113f8c,#ffd700,#ffa07a,#ff6347,#ffc0cb,#fffacd
189,Zayn Malik,"Pop music, former One Direction member",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Zayn_Wiki_%28cropped%29.jpg/1063px-Zayn_Wiki_%28cropped%29.jpg,deep winter,cool,light brown with flecks of amber,black,high,#0a475d,#4a203b,#2e223f,#345857,#6a737d,#f4c2c2,#fff5ee,#ffdab9,#f0e68c,#ffdb58
190,Catherine Deneuve,Iconic French actress and style set,Public Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Catherine_Deneuve_Berlinale_2017.jpg/1280px-Catherine_Deneuve_Berlinale_2017.jpg,light spring,warm,green with flecks of gold,light golden blonde,low,#f4c2c2,#fadadd,#fff5ee,#faebd7,#f0e68c,#000000,#1c1c1c,#083563,#4b0082,#800020
191,Cha Eun-woo,Member of ASTRO,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/5/56/20250310_Cha_Eunwoo_%EC%B0%A8%EC%9D%80%EC%9A%B0_01_%28cropped%29.jpg,light spring,warm,deep brown,natural dark brown,medium,#fadadd,#f4c2c2,#fffacd,#ffdab9,#ffe5b4,#000000,#1a1a1a,#ffffff,#7f0000,#004225
192,Chiara Ferragni,Fashion blogging and influencing,Social Media Influencers/Content Creators,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Goyas_2025_-_Chiara_Ferragni_%28cropped%29.jpg/1280px-Goyas_2025_-_Chiara_Ferragni_%28cropped%29.jpg,light spring,warm,light blue with a hint of grey,natural dark blonde,low,#f4c2c2,#faead3,#fff0db,#d1e2c4,#bee1ea,#000000,#1c1c1c,#093145,#352641,#5c0120
193,Conan O'Brien,Conan,TV Personalities/Talk Show Hosts,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Conan_O%27Brien_at_the_2025_Sundance_Film_Festival_03_%28cropped%29.jpg/1280px-Conan_O%27Brien_at_the_2025_Sundance_Film_Festival_03_%28cropped%29.jpg,light spring,warm,"blue with a soft, gray undertone",natural dark brown,low,#f4c2c2,#fff5ba,#ffd1dc,#d1e2be,#fad1a5,#000000,#183a54,#76232f,#5d3954,#343837
194,Debbie Reynolds,Roles in musicals and dramas in the 1950s and 1960s,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/0/0f/Debbie_Reynolds_6_Allan_Warren.jpg,light spring,warm,warm hazel with flecks of green,light chestnut brown,low,#fadadd,#ffd1aa,#f4c2c2,#fff5ba,#d1e231,#22313f,#000080,#330033,#7f462c,#5c3317
195,G-Dragon,BIGBANG,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/d/d1/G-Dragon_in_February_2025.png,light spring,warm,deep brown,natural dark brown,medium,#e8b4a8,#c89f94,#f4e3c3,#fad1a5,#d9a882,#000000,#ffffff,#1a1a1a,#0d0d0d,#fffafa
196,G-Dragon (Kwon Ji-yong),Member of BIGBANG,K-pop/Asian Celebrities,https://upload.wikimedia.org/wikipedia/commons/d/d1/G-Dragon_in_February_2025.png,light spring,warm,deep brown,natural dark brown,medium,#fadadd,#f4c2c2,#fff5ee,#faebd7,#eedfcc,#000000,#ffffff,#1a1a1a,#094067,#5f0f40
197,Jean Harlow,Popularizing the 'blonde bombshell' persona,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/f/f6/Harlow-publicity.jpg,light spring,warm,light blue,platinum blonde,low,#f4c2c2,#fff4e1,#faead3,#ead1dc,#d6aedd,#22313f,#010203,#67000d,#34000a,#7f1734
198,Jimin (Park Ji-min),Member of BTS,K-pop/Asian Celebrities,,light spring,warm,deep brown,natural dark brown,medium,#fadadd,#f4c2c2,#ffddca,#fff5ee,#fad1a5,#000000,#010b13,#250a12,#5b3954,#3a243b
199,Justin Bieber,Pop music,Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/d/da/Justin_Bieber_in_2015.jpg,light spring,warm,light hazel with flecks of gold,natural dark blonde,low,#e8b4a8,#fadadd,#d1c0b1,#f6e2c2,#b1d7b4,#000000,#1c1c1c,#ffffff,#093a3e,#7f001f
200,Lisa Eldridge,"Professional makeup artist, author, and YouTuber",Social Media Influencers/Content Creators,,light spring,warm,hazel with flecks of green and gold,natural dark blonde,low,#e8b4a8,#c89f94,#f4c2c2,#fff5ba,#fadadd,#000000,#ffffff,#1a1a1a,#252525,#7f0000
201,Mae West,Vaudeville and film actress known for her wit,Historical/Classic Hollywood Icons,https://upload.wikimedia.org/wikipedia/commons/f/fd/Mae_West_LAT.jpg,light spring,warm,light hazel with flecks of green,platinum blonde,low,#fadadd,#ffd1aa,#f4c2c2,#fff5ee,#faead3,#000000,#1c1c1c,#082567,#4c0042,#08457e
202,Miley Cyrus,"Pop music, actress",Musicians/Singers,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Miley_Cyrus_Primavera19_-226_%2848986293772%29_%28cropped%29.jpg/1083px-Miley_Cyrus_Primavera19_-226_%2848986293772%29_%28cropped%29.jpg,light spring,warm,light blue with hints of green,natural dark blonde,low,#f4c2c2,#fae3d9,#fadadd,#fff5ba,#f6e3a6,#000000,#1c1c1c,#ffffff,#094d92,#013220
203,Miranda Kerr,"Victoria's Secret Angel, skincare line",Models/Supermodels,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Miranda_Kerr_-_Abbot_Kinney_2025.jpg/1280px-Miranda_Kerr_-_Abbot_Kinney_2025.jpg,light spring,warm,light blue with a hint of green,natural dark blonde,low,#f4c2c2,#fff5ba,#ffd1aa,#fae3d9,#b1e2c1,#000000,#1c1c1c,#583d3e,#352641,#274257
204,Princess Charlotte,British Royal Family member,Royal Family Members/Public Figures,,light spring,warm,green with flecks of gold,light brown with natural highlights,low,#f4c2c2,#fff5ba,#fadadd,#ffd1dc,#d1e2d2,#000000,#1c1c1c,#092256,#7f462c,#4c2f27
205,Queen Elizabeth II,Queen of the United Kingdom,Royal Family Members/Public Figures,https://upload.wikimedia.org/wikipedia/commons/1/11/Queen_Elizabeth_II_official_portrait_for_1959_tour_%28retouched%29_%28cropped%29_%283-to-4_aspect_ratio%29.jpg,light spring,warm,"blue-grey with a soft, gentle depth","light grey, originally a dark blonde",low,#f4c2c2,#fff5ba,#fadadd,#ffd1dc,#d1bdba,#000000,#1c1c1c,#08457e,#004225,#560319
206,RachhLoves,Makeup tutorials and product reviews,Social Media Influencers/Content Creators,,light spring,warm,light hazel with flecks of green,natural dark blonde,low,#f4c2c2,#fff5ba,#fadadd,#d1e2d2,#ffd1dc,#000000,#1c1c1c,#583d3e,#7f4e52,#005a3c
207,Reese Witherspoon,"Legally Blonde, Big Little Lies",Hollywood Actresses,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Reese_Witherspoon_at_TIFF_2014.jpg/1280px-Reese_Witherspoon_at_TIFF_2014.jpg,light spring,warm,blue,blonde,low,#f4c2c2,#fff5ba,#d6a692,#fae8d3,#f6bfbc,#000000,#1c1c1c,#092d63,#7f001f,#084c9e
208,Roger Federer,Tennis,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Roger_Federer_2015_%28cropped%29.jpg/1280px-Roger_Federer_2015_%28cropped%29.jpg,light spring,warm,light brown with flecks of gold,natural dark blond,low,#fadadd,#f4c2c2,#fff5ba,#fbceb1,#fae7b5,#000000,#1c1c1c,#08457e,#004b49,#32127a
209,Ryan Gosling,"La La Land, Drive",Hollywood Actors,https://upload.wikimedia.org/wikipedia/commons/6/62/GoslingBFI081223_%2822_of_30%29_%2853388157347%29_%28cropped%29.jpg,light spring,warm,blue with hints of green,natural blond,low,#f4c2c2,#fff5ba,#d1e2be,#bee1e6,#c9a798,#000000,#183a37,#702963,#4c1c24,#034f84
210,Sarah Jessica Parker,"Acting, fashion icon",Fashion Designers/Style Icons,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Sarah_Jessica_Parker_2022.jpg/1059px-Sarah_Jessica_Parker_2022.jpg,light spring,warm,green with golden flecks,natural dark blonde,low,#ead2ac,#f4c2c2,#faf0e6,#fff5ee,#d1e231,#000000,#1c1c1c,#00416a,#013220,#4b0082
211,Shaun White,Snowboarding,Athletes/Sports Figures,https://upload.wikimedia.org/wikipedia/commons/d/de/Shaun_White_in_2018_181222-D-PB383-014_%2846423162561%29_%28cropped%29.jpg,light spring,warm,light hazel with green and brown tones,natural auburn,low,#e8b4a8,#f4c2a5,#fad2ae,#d9a882,#a67b5b,#000000,#1a1a1a,#ffffff,#093a3e,#3d0c02
